"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000303.12",211.990979968811,-0.0353782627080808,0.388425375514879,-0.0910812344872808,0.927428043367748,0.999942967225476
"ENSMUSG00000000305.12",839.195048304463,0.0223905334767325,0.0848822112826981,0.263783578895717,0.791946688693851,0.999942967225476
"ENSMUSG00000000308.14",13228.6650936955,0.0319744279781618,0.0678032182371471,0.471576848555016,0.637228854917808,0.999942967225476
"ENSMUSG00000000317.11",53.7657285825824,-0.13303103122957,0.184936126019325,-0.719335016327037,0.471934525683432,0.999942967225476
"ENSMUSG00000000318.16",74.448482851666,-0.0307080267896201,0.368805396605121,-0.0832634963378777,0.933642025173569,0.999942967225476
"ENSMUSG00000000320.10",8.68655272179929,-0.0665988560938133,0.296191863212199,-0.224850390458229,0.822095663703776,0.999942967225476
"ENSMUSG00000000325.16",1125.05746157978,0.0124866312401106,0.0805000050335008,0.155113421855243,0.876731901142976,0.999942967225476
"ENSMUSG00000000326.13",2617.53844612379,0.0792446705159252,0.0618968706068195,1.28026941813104,0.200450399274142,0.999942967225476
"ENSMUSG00000000339.14",1993.77187959486,-0.0445527677496572,0.0654700262528369,-0.680506337015967,0.496183910691862,0.999942967225476
"ENSMUSG00000000340.10",459.955249078823,0.202718955935332,0.139263021001551,1.45565530948144,0.145487929972444,0.999942967225476
"ENSMUSG00000000346.9",5539.01531119599,0.00802731343816719,0.11128216317316,0.0721347717304553,0.942494654453233,0.999942967225476
"ENSMUSG00000000355.13",1334.48797561634,0.106926156220967,0.134688982541339,0.793874556058429,0.427268463474609,0.999942967225476
"ENSMUSG00000000359.3",9.01378079066708,-0.142736364125921,0.315858058694969,-0.451900340031421,0.651340779480421,0.999942967225476
"ENSMUSG00000000365.9",11.431752502147,-0.567527492214864,0.256217692788576,-2.21502069602653,0.0267586440132275,0.999942967225476
"ENSMUSG00000000374.8",3071.02401226072,-0.0744043373058234,0.0828126737332886,-0.898465584452138,0.368937385152841,0.999942967225476
"ENSMUSG00000000378.15",1741.12392749433,0.0988454907194235,0.0881224507494878,1.12168340620053,0.261997074417599,0.999942967225476
"ENSMUSG00000000384.15",1195.49173856112,-0.0218824351118509,0.0664046973412546,-0.329531433588151,0.741754038894724,0.999942967225476
"ENSMUSG00000000385.8",6.02267025803328,0.18321968331925,0.725355688810226,0.252592881183269,0.800582831666613,0.999942967225476
"ENSMUSG00000000386.16",2.44129352456286,0.196937329046597,0.458254162416166,0.429755679704546,0.667373375753786,0.999942967225476
"ENSMUSG00000000392.17",28.2031926091623,-0.188792188004945,0.232173451608994,-0.813151489529012,0.416131208463442,0.999942967225476
"ENSMUSG00000000394.15",5.34780254646219,0.0438049436257383,0.449966430726638,0.097351581439084,0.922447194428461,0.999942967225476
"ENSMUSG00000000399.10",5887.56483572597,0.00140393028084648,0.0569694080316403,0.0246435820443623,0.980339256399102,0.999942967225476
"ENSMUSG00000000402.2",65.114711352861,-0.0853344942015285,0.29999873435203,-0.284449514048262,0.77606591860467,0.999942967225476
"ENSMUSG00000000409.14",62.6371330299585,0.0585259697988545,0.244483801230441,0.239385879572815,0.81080637822367,0.999942967225476
"ENSMUSG00000000411.7",2.96209987710987,-0.4518425590315,0.363540021805829,-1.24289633033261,0.213906038151155,0.999942967225476
"ENSMUSG00000000416.16",1225.54783933951,0.00776026611170663,0.160847043037446,0.0482462466524796,0.961519993578609,0.999942967225476
"ENSMUSG00000000420.15",1633.70106921504,0.0409609447555216,0.0758585769987299,0.539964581146933,0.589221458781237,0.999942967225476
